lat,long,Id,LotArea,balcony,loggia,veranda,kitchen,numberOfFloors,floor,numberOfRooms,numberOfBedrooms,ceilingHeight,numberOfBathrooms,SalePrice
41.709857,44.76457000000001,271739,82,0,0,0,0,6,5,2,0,0,0,100000
41.72594218549993,44.75405216217041,271738,94,0,0,0,0,8,5,4,2,2,1,90000
41.79610309999999,44.77988690000001,271737,60,0,0,0,0,10,6,3,2,3,1,72000
41.6901555,44.839658,271736,65,0,0,0,0,1,0,2,1,2,1,55000
41.7261595,44.77000880000001,271730,51,0,0,0,0,5,0,2,0,0,0,55000
41.73282344044918,44.787946076076125,271728,48,0,0,0,0,10,9,3,2,2,1,60000
41.7038226,44.7703997,271723,63,0,0,0,0,9,2,3,2,0,1,98000
41.706976300463,44.7317134,271719,63,0,0,0,0,14,5,3,2,0,2,110000
41.7922006,44.7553182,271716,85,0,0,0,0,13,9,3,2,3,1,75000
41.7131432,44.7143903,271712,104,0,0,0,0,9,4,3,2,0,1,126000
41.7010636800463,44.7644981,271711,74,0,0,0,0,15,5,2,1,0,1,130000
41.78258820000001,44.75555,271709,46,0,0,0,0,5,3,2,1,0,1,52100
41.7131432,44.7143903,271701,67,0,0,0,0,14,13,2,1,0,1,100000
41.7131432,44.7143903,271685,105,0,0,0,0,10,5,4,3,0,2,135000
41.703706,44.77245610000001,271684,73,0,0,0,0,10,4,2,1,0,1,127000
41.7109105,44.758644,271681,82,0,0,0,0,12,9,3,2,0,1,120000
41.70862,44.7672594,271680,72,0,0,0,0,10,2,2,1,0,1,119000
41.7038226,44.7703997,271679,63,0,0,0,0,9,2,3,2,0,1,99000
41.7025581,44.7715719,271678,73,0,0,0,0,2,1,3,2,0,1,73000
41.6835825,44.8228496,271652,86,0,0,0,0,14,10,3,2,0,2,135000
41.6730781,44.8155069,271648,90,0,0,0,0,7,2,3,2,0,1,125000
41.683832900461,44.8210231,271645,96,1,0,0,0,13,10,3,2,0,1,110000
41.7279173,44.73809869999999,271639,65,0,0,0,0,13,5,2,1,0,1,82000
41.7221586,44.7509864,271632,41,0,0,0,0,22,7,2,1,0,1,73500
41.7179807,44.7811526,271630,37,0,0,0,0,22,10,1,0,0,1,57000
41.7212295,44.7627305,271629,65,0,0,0,0,10,9,2,1,3,1,68000
41.720852900464,44.7819965,271624,128,0,0,0,0,12,9,4,3,3,2,130000
41.7168522,44.767545,271619,136,0,0,0,0,6,5,3,2,0,1,110000
41.716862800464,44.7675501,271618,138,0,0,0,0,6,6,4,3,0,1,90000
41.7100817,44.7310039,271614,62,0,0,0,0,9,7,3,2,0,1,61000
41.6862697,44.8291352,271613,104,0,0,0,0,10,5,3,2,0,1,123000
41.7224517,44.7409579,271603,80,0,0,0,0,6,1,2,1,0,1,78000
41.7078618,44.7637655,271600,97,0,0,0,0,6,4,3,2,2,1,120000
41.7230638,44.750846,271593,47,0,0,0,0,12,1,2,1,0,1,75000
41.7099175,44.8107313,271588,100,0,0,0,0,3,0,5,4,0,2,45000
41.6811045,44.8219496,271585,60,0,0,0,0,15,15,2,1,0,1,76000
41.7258401,44.7489211,271548,85,0,0,0,0,15,13,2,1,0,1,100000
41.6908413,44.7985446,271544,120,0,0,0,0,3,2,5,3,0,2,132000
41.70862,44.7672594,271542,110,0,0,0,0,8,1,3,2,0,1,100000
41.7212878,44.7298345,271541,78,0,0,0,0,17,6,3,2,0,1,100000
41.7333065,44.74195,271531,60,0,0,0,0,20,12,2,1,0,1,90200
